Episode: 0; Score: 2.9637391416414824; Action: [0 0 0 0 0]
Episode: 1; Score: 0.04999999999999999; Action: [1 2 2 2 0]
Episode: 2; Score: -0.15000000000000002; Action: [2 0 0 0 1]
Episode: 3; Score: 0.1499999999999999; Action: [1 2 1 2 2]
Episode: 4; Score: 1.0; Action: [2 1 0 2 2]
Episode: 5; Score: -0.2; Action: [0 2 0 1 1]
Episode: 6; Score: 12.846694297871945; Action: [1 1 1 1 1]
Episode: 7; Score: 0.04999999999999999; Action: [1 2 1 0 1]
Episode: 8; Score: -0.15000000000000002; Action: [1 0 1 0 1]
Episode: 9; Score: -0.10000000000000009; Action: [0 0 2 2 2]
Episode: 10; Score: -0.8; Action: [0 0 2 1 0]
Episode: 11; Score: -0.75; Action: [2 2 2 1 1]
Episode: 12; Score: 6.418550381170516; Action: [2 1 2 2 2]
Episode: 13; Score: 0.04999999999999999; Action: [1 0 0 2 0]
Episode: 14; Score: 0.35; Action: [2 1 0 1 2]
Episode: 15; Score: -0.6000000000000001; Action: [0 2 2 1 1]
Episode: 16; Score: -0.30000000000000004; Action: [0 1 2 1 2]
Episode: 17; Score: -1.0; Action: [0 0 0 1 1]
Episode: 18; Score: 2.5088454631741093; Action: [0 0 0 0 0]
Episode: 19; Score: 0.04999999999999999; Action: [0 1 0 1 1]
Episode: 20; Score: 0.35; Action: [1 1 1 1 2]
Episode: 21; Score: -0.10000000000000009; Action: [2 1 0 0 0]
Episode: 22; Score: -0.55; Action: [2 0 2 1 1]
Episode: 23; Score: -0.75; Action: [1 0 1 1 1]
Episode: 24; Score: 2.669054188372318; Action: [0 0 0 0 0]
Episode: 25; Score: -0.2; Action: [1 2 2 1 1]
Episode: 26; Score: -0.15000000000000002; Action: [2 2 0 0 1]
Episode: 27; Score: 0.1499999999999999; Action: [2 0 2 2 2]
Episode: 28; Score: 1.0; Action: [2 1 1 2 1]
Episode: 29; Score: 0.04999999999999999; Action: [1 0 0 2 1]
Episode: 30; Score: 2.8198867944678447; Action: [0 0 0 0 0]
Episode: 31; Score: 0.3; Action: [1 0 2 2 2]
Episode: 32; Score: 0.35; Action: [2 2 1 2 0]
Episode: 33; Score: -0.3500000000000001; Action: [2 0 2 1 1]
Episode: 34; Score: -0.8; Action: [0 0 0 0 1]
Episode: 35; Score: -0.25; Action: [2 1 0 0 2]
Episode: 36; Score: 7.0251993062549625; Action: [2 1 1 2 2]
Episode: 37; Score: -0.2; Action: [1 2 2 0 0]
Episode: 38; Score: 0.09999999999999998; Action: [2 0 2 2 1]
Episode: 39; Score: -0.10000000000000009; Action: [0 1 2 1 2]
Episode: 40; Score: -0.30000000000000004; Action: [1 2 2 2 2]
Episode: 41; Score: -0.75; Action: [1 0 1 0 0]
Episode: 42; Score: 6.439384660894497; Action: [2 1 1 2 2]
Episode: 43; Score: -0.2; Action: [0 2 2 1 1]
Episode: 44; Score: 0.09999999999999998; Action: [1 2 1 0 2]
Episode: 45; Score: 0.1499999999999999; Action: [2 1 2 2 1]
Episode: 46; Score: -0.8; Action: [0 2 0 0 1]
Episode: 47; Score: -0.5; Action: [1 0 1 1 2]
Episode: 48; Score: 11.70597171030364; Action: [1 1 1 1 1]
Episode: 49; Score: 0.04999999999999999; Action: [0 2 0 0 2]
Episode: 50; Score: 0.35; Action: [2 0 0 2 2]
Episode: 51; Score: -0.3500000000000001; Action: [0 0 1 0 1]
Episode: 52; Score: -0.30000000000000004; Action: [2 1 0 0 1]
Episode: 53; Score: -0.5; Action: [0 0 0 2 2]
Episode: 54; Score: 6.806025830346231; Action: [2 1 1 2 2]
Episode: 55; Score: 0.3; Action: [0 2 2 2 2]
Episode: 56; Score: 0.09999999999999998; Action: [0 1 0 1 2]
Episode: 57; Score: -0.10000000000000009; Action: [1 2 1 2 0]
Episode: 58; Score: -0.050000000000000044; Action: [2 1 2 2 1]
Episode: 59; Score: -0.75; Action: [1 0 0 2 1]
Episode: 60; Score: 7.150484091934058; Action: [2 1 1 2 2]
