Episode: 0; Score: 5.860976511243621; Action: [2 1 2 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [0 0 1 1 1]
Episode: 2; Score: -0.4; Action: [0 0 2 1 1]
Episode: 3; Score: -0.3500000000000001; Action: [1 2 2 2 0]
Episode: 4; Score: -0.30000000000000004; Action: [0 0 2 2 2]
Episode: 5; Score: -0.75; Action: [0 0 1 0 1]
Episode: 6; Score: 12.637708029332781; Action: [1 1 1 1 1]
Episode: 7; Score: -0.2; Action: [0 2 0 0 0]
Episode: 8; Score: 0.09999999999999998; Action: [2 0 1 0 1]
Episode: 9; Score: -0.3500000000000001; Action: [1 1 0 0 0]
Episode: 10; Score: -0.30000000000000004; Action: [0 1 0 0 2]
Episode: 11; Score: -0.75; Action: [1 2 0 0 2]
Episode: 12; Score: 6.122676687029354; Action: [2 1 2 2 2]
Episode: 13; Score: -0.2; Action: [1 0 0 1 1]
Episode: 14; Score: 0.09999999999999998; Action: [2 2 1 0 1]
Episode: 15; Score: -0.10000000000000009; Action: [1 2 1 1 2]
Episode: 16; Score: -0.8; Action: [1 0 0 0 1]
Episode: 17; Score: -0.5; Action: [2 1 0 0 0]
Episode: 18; Score: 12.272061411764302; Action: [1 1 1 1 1]
Episode: 19; Score: 1.0; Action: [2 1 0 2 2]
Episode: 20; Score: 0.3; Action: [2 1 2 0 1]
Episode: 21; Score: -0.15000000000000002; Action: [0 2 2 2 1]
Episode: 22; Score: 0.1499999999999999; Action: [2 1 1 1 1]
Episode: 23; Score: -0.55; Action: [1 1 0 1 1]
Episode: 24; Score: 2.5313979761292877; Action: [0 0 0 0 0]
Episode: 25; Score: 0.3; Action: [1 1 0 0 2]
Episode: 26; Score: 0.09999999999999998; Action: [1 1 2 2 1]
Episode: 27; Score: 0.1499999999999999; Action: [2 0 0 2 2]
Episode: 28; Score: -0.30000000000000004; Action: [1 1 0 0 2]
Episode: 29; Score: -0.25; Action: [2 1 1 0 1]
Episode: 30; Score: 2.8913282579210784; Action: [0 0 0 0 0]
Episode: 31; Score: 0.3; Action: [0 0 2 2 2]
Episode: 32; Score: 0.35; Action: [2 1 0 0 2]
Episode: 33; Score: -0.10000000000000009; Action: [0 2 0 2 2]
Episode: 34; Score: -0.55; Action: [2 0 2 0 1]
Episode: 35; Score: -0.25; Action: [0 1 1 0 2]
Episode: 36; Score: 11.273994775912339; Action: [1 1 1 1 1]
Episode: 37; Score: 0.3; Action: [1 1 2 0 2]
Episode: 38; Score: -0.15000000000000002; Action: [1 2 1 0 0]
Episode: 39; Score: -0.3500000000000001; Action: [0 2 0 2 0]
Episode: 40; Score: -0.050000000000000044; Action: [0 1 1 1 2]
Episode: 41; Score: -0.75; Action: [0 1 2 0 0]
Episode: 42; Score: 6.634761041248586; Action: [2 1 1 2 2]
Episode: 43; Score: 0.04999999999999999; Action: [1 1 0 0 1]
Episode: 44; Score: -0.15000000000000002; Action: [1 0 1 1 0]
Episode: 45; Score: -0.6000000000000001; Action: [1 0 0 0 1]
Episode: 46; Score: -0.30000000000000004; Action: [0 2 0 2 2]
Episode: 47; Score: -0.75; Action: [1 0 1 0 0]
Episode: 48; Score: 5.897797021450382; Action: [2 1 2 2 2]
Episode: 49; Score: 0.3; Action: [2 2 0 0 2]
Episode: 50; Score: 0.35; Action: [2 1 0 1 2]
Episode: 51; Score: 0.1499999999999999; Action: [1 0 1 2 2]
Episode: 52; Score: -0.30000000000000004; Action: [2 1 0 0 1]
