Episode: 0; Score: 3.3926109197015317; Action: [2 1 2 2 2]
Episode: 1; Score: 0.04999999999999999; Action: [2 0 0 0 1]
Episode: 2; Score: -0.15000000000000002; Action: [1 2 0 0 2]
Episode: 3; Score: -0.3500000000000001; Action: [1 0 2 0 2]
Episode: 4; Score: -0.55; Action: [2 0 2 1 0]
Episode: 5; Score: -0.5; Action: [2 0 1 1 1]
Episode: 6; Score: 1.2633134997933564; Action: [0 0 0 0 0]
Episode: 7; Score: 0.55; Action: [2 0 2 2 2]
Episode: 8; Score: -0.15000000000000002; Action: [0 2 2 1 2]
Episode: 9; Score: -0.10000000000000009; Action: [1 1 0 0 2]
Episode: 10; Score: -0.30000000000000004; Action: [1 1 0 2 1]
Episode: 11; Score: -0.75; Action: [0 0 2 0 2]
Episode: 12; Score: 1.230966365497818; Action: [0 0 0 0 0]
Episode: 13; Score: 0.04999999999999999; Action: [1 1 0 1 1]
Episode: 14; Score: -0.15000000000000002; Action: [0 1 2 1 0]
Episode: 15; Score: -0.6000000000000001; Action: [1 2 0 0 0]
Episode: 16; Score: 1.0; Action: [2 2 1 2 2]
Episode: 17; Score: 0.04999999999999999; Action: [0 1 0 1 1]
Episode: 18; Score: 3.236127426414121; Action: [2 1 1 2 2]
Episode: 19; Score: 0.3; Action: [1 1 1 1 0]
Episode: 20; Score: -0.15000000000000002; Action: [2 2 0 1 0]
Episode: 21; Score: -0.10000000000000009; Action: [2 2 0 2 1]
Episode: 22; Score: -0.55; Action: [0 0 1 1 0]
Episode: 23; Score: -0.75; Action: [0 2 0 2 1]
Episode: 24; Score: 3.6278935440588715; Action: [2 1 1 2 2]
Episode: 25; Score: 0.3; Action: [1 0 2 2 2]
Episode: 26; Score: 0.09999999999999998; Action: [1 1 1 1 0]
Episode: 27; Score: -0.10000000000000009; Action: [2 1 2 0 0]
Episode: 28; Score: -0.8; Action: [0 2 2 1 1]
Episode: 29; Score: -0.25; Action: [2 2 1 1 2]
Episode: 30; Score: 3.456846300373225; Action: [2 1 2 2 2]
Episode: 31; Score: 1.0; Action: [0 1 1 2 2]
Episode: 32; Score: 0.04999999999999999; Action: [0 0 1 1 1]
Episode: 33; Score: 0.35; Action: [2 1 0 0 2]
Episode: 34; Score: -0.0500000000000001; Action: [2 1 0 0 2]
Episode: 35; Score: -0.050000000000000044; Action: [0 1 0 2 2]
Episode: 36; Score: 3.0581696039348163; Action: [2 1 2 2 2]
Episode: 37; Score: -0.2; Action: [1 0 2 1 1]
Episode: 38; Score: 1.0; Action: [2 2 1 2 2]
Episode: 39; Score: 0.55; Action: [2 1 1 0 1]
Episode: 40; Score: 0.09999999999999998; Action: [1 1 0 2 0]
Episode: 41; Score: -0.3500000000000001; Action: [0 2 1 1 1]
Episode: 42; Score: 1.273813451564403; Action: [0 0 0 0 0]
Episode: 43; Score: 0.3; Action: [1 1 1 1 0]
Episode: 44; Score: -0.15000000000000002; Action: [1 2 0 2 1]
Episode: 45; Score: -0.10000000000000009; Action: [2 0 2 2 1]
Episode: 46; Score: -0.30000000000000004; Action: [2 2 0 1 2]
Episode: 47; Score: -0.5; Action: [0 0 1 2 1]
Episode: 48; Score: 3.4818855921587333; Action: [2 1 1 2 2]
Episode: 49; Score: 0.55; Action: [1 1 1 0 2]
Episode: 50; Score: 1.0; Action: [2 1 0 2 2]
Episode: 51; Score: 0.3; Action: [1 1 1 1 0]
Episode: 52; Score: -0.4; Action: [1 0 2 1 0]
Episode: 53; Score: -0.3500000000000001; Action: [0 0 2 2 1]
Episode: 54; Score: 1.480210540897194; Action: [0 0 0 0 0]
Episode: 55; Score: 0.55; Action: [0 0 1 2 2]
Episode: 56; Score: 5.272283606290873; Action: [1 1 1 1 1]
Episode: 57; Score: 0.3; Action: [1 1 1 0 0]
Episode: 58; Score: -0.15000000000000002; Action: [2 2 0 1 0]
Episode: 59; Score: -0.10000000000000009; Action: [1 2 1 2 1]
Episode: 60; Score: 3.5430139442784414; Action: [2 1 1 2 2]
Episode: 61; Score: 0.04999999999999999; Action: [1 1 2 0 0]
Episode: 62; Score: 0.35; Action: [0 1 1 2 1]
Episode: 63; Score: -0.6000000000000001; Action: [1 0 2 0 1]
Episode: 64; Score: -0.30000000000000004; Action: [2 1 2 1 1]
Episode: 65; Score: -0.5; Action: [2 2 0 2 0]
Episode: 66; Score: 5.431244672127011; Action: [1 1 1 1 1]
Episode: 67; Score: 0.3; Action: [1 0 1 1 2]
Episode: 68; Score: 0.09999999999999998; Action: [1 1 1 0 0]
Episode: 69; Score: -0.3500000000000001; Action: [1 2 0 1 2]
Episode: 70; Score: -0.8; Action: [1 2 0 0 1]
Episode: 71; Score: -0.5; Action: [2 0 0 2 1]
Episode: 72; Score: 5.009823915115302; Action: [1 1 1 1 1]
Episode: 73; Score: 0.04999999999999999; Action: [2 2 2 0 1]
Episode: 74; Score: 0.35; Action: [2 2 2 2 2]
Episode: 75; Score: -0.10000000000000009; Action: [2 2 0 2 1]
Episode: 76; Score: -0.050000000000000044; Action: [2 2 1 0 2]
Episode: 77; Score: -0.25; Action: [2 0 2 2 2]
Episode: 78; Score: 3.056938270103866; Action: [2 1 2 2 2]
Episode: 79; Score: 0.3; Action: [1 2 1 2 0]
Episode: 80; Score: -0.15000000000000002; Action: [0 1 2 0 1]
Episode: 81; Score: -0.10000000000000009; Action: [2 2 1 0 1]
Episode: 82; Score: -0.30000000000000004; Action: [1 2 2 2 2]
Episode: 83; Score: -0.5; Action: [1 1 2 2 1]
Episode: 84; Score: 1.359682957474379; Action: [0 0 0 0 0]
Episode: 85; Score: 0.55; Action: [2 2 1 2 1]
Episode: 86; Score: -0.15000000000000002; Action: [1 1 0 0 1]
Episode: 87; Score: -0.3500000000000001; Action: [1 1 0 1 1]
Episode: 88; Score: -0.050000000000000044; Action: [2 1 1 1 1]
Episode: 89; Score: -1.0; Action: [1 0 0 1 0]
Episode: 90; Score: 3.119532413423958; Action: [2 1 2 2 2]
Episode: 91; Score: 0.04999999999999999; Action: [0 2 2 0 2]
Episode: 92; Score: 0.09999999999999998; Action: [2 1 2 1 0]
Episode: 93; Score: -0.6000000000000001; Action: [0 2 0 0 1]
Episode: 94; Score: -0.8; Action: [0 2 0 1 1]
Episode: 95; Score: -1.0; Action: [0 0 0 1 1]
Episode: 96; Score: 5.33505022450937; Action: [1 1 1 1 1]
Episode: 97; Score: 0.3; Action: [1 0 1 0 2]
Episode: 98; Score: 0.09999999999999998; Action: [2 2 2 0 2]
Episode: 99; Score: 0.1499999999999999; Action: [1 2 1 2 2]
Episode: 100; Score: -0.8; Action: [1 0 2 0 0]
Episode: 101; Score: -0.5; Action: [0 1 2 2 1]
Episode: 102; Score: 5.088222789890652; Action: [1 1 1 1 1]
Episode: 103; Score: 0.55; Action: [1 1 1 0 2]
Episode: 104; Score: -0.15000000000000002; Action: [0 1 2 1 1]
Episode: 105; Score: -0.3500000000000001; Action: [1 1 0 1 1]
Episode: 106; Score: -0.050000000000000044; Action: [1 0 1 2 2]
Episode: 107; Score: -0.25; Action: [1 1 1 2 0]
Episode: 108; Score: 3.3225774351444253; Action: [2 1 1 2 2]
Episode: 109; Score: 0.3; Action: [2 1 0 1 0]
Episode: 110; Score: 0.09999999999999998; Action: [1 1 0 2 0]
Episode: 111; Score: -0.3000000000000001; Action: [1 1 0 2 0]
Episode: 112; Score: -0.30000000000000004; Action: [2 0 0 2 0]
Episode: 113; Score: -0.25; Action: [1 1 0 2 2]
Episode: 114; Score: 3.131245767497592; Action: [2 1 2 2 2]
Episode: 115; Score: 0.55; Action: [2 0 1 2 1]
Episode: 116; Score: 0.09999999999999998; Action: [1 1 1 0 1]
Episode: 117; Score: 0.1499999999999999; Action: [0 1 1 0 2]
Episode: 118; Score: -0.050000000000000044; Action: [2 1 2 2 0]
