Episode: 0; Score: 3.34598355526046; Action: [2. 1. 2. 2. 2.]
Episode: 1; Score: 0.3; Action: [1. 1. 0. 0. 2.]
Episode: 2; Score: 0.09999999999999998; Action: [1. 1. 1. 0. 1.]
Episode: 3; Score: -0.6000000000000001; Action: [1. 2. 2. 0. 0.]
Episode: 4; Score: -0.55; Action: [1. 2. 0. 0. 2.]
Episode: 5; Score: -0.5; Action: [1. 1. 1. 0. 0.]
Episode: 6; Score: 2.94703538795332; Action: [2. 1. 2. 2. 2.]
Episode: 7; Score: 0.04999999999999999; Action: [0. 2. 1. 1. 0.]
Episode: 8; Score: 1.0; Action: [2. 2. 1. 2. 2.]
Episode: 9; Score: 0.55; Action: [2. 2. 1. 2. 0.]
Episode: 10; Score: 0.35; Action: [0. 1. 2. 2. 2.]
Episode: 11; Score: -0.3500000000000001; Action: [1. 0. 2. 2. 0.]
Episode: 12; Score: 3.1186334294092055; Action: [2. 1. 2. 2. 2.]
Episode: 13; Score: 0.04999999999999999; Action: [1. 1. 2. 0. 0.]
Episode: 14; Score: 0.35; Action: [2. 0. 1. 1. 2.]
Episode: 15; Score: -0.3500000000000001; Action: [0. 0. 1. 1. 1.]
Episode: 16; Score: -0.30000000000000004; Action: [0. 1. 2. 2. 1.]
Episode: 17; Score: -1.0; Action: [0. 2. 2. 1. 0.]
Episode: 18; Score: 3.2260617174081574; Action: [2. 1. 1. 2. 2.]
Episode: 19; Score: 0.55; Action: [1. 1. 0. 2. 2.]
Episode: 20; Score: -0.15000000000000002; Action: [2. 2. 0. 1. 1.]
Episode: 21; Score: -0.55; Action: [2. 2. 0. 1. 1.]
Episode: 22; Score: -0.8; Action: [0. 0. 0. 0. 1.]
Episode: 23; Score: -0.5; Action: [2. 1. 0. 1. 1.]
Episode: 24; Score: 5.519704533053876; Action: [1. 1. 1. 1. 1.]
Episode: 25; Score: 0.04999999999999999; Action: [1. 2. 0. 2. 1.]
Episode: 26; Score: 0.09999999999999998; Action: [1. 1. 2. 0. 2.]
Episode: 27; Score: -0.10000000000000009; Action: [1. 1. 1. 1. 0.]
Episode: 28; Score: -0.050000000000000044; Action: [0. 0. 1. 2. 2.]
Episode: 29; Score: -0.75; Action: [1. 0. 1. 0. 0.]
Episode: 30; Score: 3.4581883918272203; Action: [2. 1. 1. 2. 2.]
Episode: 31; Score: 1.0; Action: [2. 1. 1. 2. 0.]
Episode: 32; Score: -0.2; Action: [0. 0. 2. 0. 1.]
Episode: 33; Score: 0.35; Action: [0. 1. 1. 0. 2.]
Episode: 34; Score: -0.10000000000000009; Action: [0. 1. 0. 0. 2.]
Episode: 35; Score: -0.55; Action: [1. 0. 2. 2. 0.]
Episode: 36; Score: 2.971006998984122; Action: [2. 1. 2. 2. 2.]
Episode: 37; Score: -0.2; Action: [1. 0. 0. 0. 0.]
Episode: 38; Score: -0.15000000000000002; Action: [0. 2. 1. 1. 0.]
Episode: 39; Score: -0.3500000000000001; Action: [1. 2. 1. 0. 1.]
Episode: 40; Score: -0.050000000000000044; Action: [1. 1. 1. 2. 0.]
Episode: 41; Score: -0.5; Action: [0. 1. 1. 0. 0.]
Episode: 42; Score: 2.918557396158699; Action: [2. 1. 2. 2. 2.]
Episode: 43; Score: 0.04999999999999999; Action: [0. 1. 0. 1. 0.]
Episode: 44; Score: 0.09999999999999998; Action: [2. 0. 2. 1. 2.]
Episode: 45; Score: -0.10000000000000009; Action: [0. 2. 1. 0. 2.]
Episode: 46; Score: -0.050000000000000044; Action: [0. 1. 0. 2. 2.]
Episode: 47; Score: -0.75; Action: [0. 0. 0. 1. 2.]
Episode: 48; Score: 1.239022998446601; Action: [0. 0. 0. 0. 0.]
Episode: 49; Score: 0.3; Action: [0. 1. 2. 2. 0.]
Episode: 50; Score: -0.15000000000000002; Action: [2. 2. 0. 0. 0.]
Episode: 51; Score: 0.1499999999999999; Action: [1. 2. 1. 2. 2.]
Episode: 52; Score: 1.0; Action: [1. 1. 1. 2. 2.]
Episode: 53; Score: 0.3; Action: [0. 1. 1. 0. 0.]
Episode: 54; Score: 3.6320011990411984; Action: [2. 1. 1. 2. 2.]
Episode: 55; Score: 1.0; Action: [1. 1. 1. 2. 2.]
Episode: 56; Score: 0.55; Action: [1. 1. 1. 2. 0.]
Episode: 57; Score: 0.09999999999999998; Action: [0. 0. 2. 2. 2.]
Episode: 58; Score: -0.10000000000000009; Action: [0. 1. 2. 2. 1.]
Episode: 59; Score: -0.30000000000000004; Action: [2. 2. 1. 0. 0.]
Episode: 60; Score: 3.450489253883611; Action: [2. 1. 1. 2. 2.]
Episode: 61; Score: 0.3; Action: [2. 1. 0. 0. 1.]
Episode: 62; Score: 0.35; Action: [1. 1. 1. 0. 2.]
Episode: 63; Score: -0.10000000000000009; Action: [2. 1. 2. 1. 0.]
Episode: 64; Score: -0.55; Action: [0. 0. 1. 0. 1.]
Episode: 65; Score: -0.5; Action: [1. 1. 2. 2. 0.]
Episode: 66; Score: 3.240405379692402; Action: [2. 1. 1. 2. 2.]
Episode: 67; Score: 0.3; Action: [0. 2. 1. 2. 1.]
Episode: 68; Score: 0.09999999999999998; Action: [2. 2. 1. 1. 0.]
Episode: 69; Score: 0.1499999999999999; Action: [2. 2. 0. 2. 2.]
Episode: 70; Score: -0.30000000000000004; Action: [2. 2. 2. 2. 1.]
Episode: 71; Score: -0.75; Action: [0. 0. 2. 1. 2.]
Episode: 72; Score: 3.2183972521155724; Action: [2. 1. 1. 2. 2.]
Episode: 73; Score: 0.55; Action: [1. 1. 1. 2. 1.]
Episode: 74; Score: 0.09999999999999998; Action: [1. 2. 2. 2. 2.]
Episode: 75; Score: -0.3500000000000001; Action: [0. 0. 0. 1. 2.]
Episode: 76; Score: -0.050000000000000044; Action: [2. 1. 2. 1. 2.]
Episode: 77; Score: -0.75; Action: [0. 0. 2. 2. 1.]
Episode: 78; Score: 5.204471875364176; Action: [1. 1. 1. 1. 1.]
Episode: 79; Score: 0.04999999999999999; Action: [1. 2. 0. 0. 2.]
Episode: 80; Score: -0.15000000000000002; Action: [0. 0. 0. 0. 2.]
Episode: 81; Score: -0.10000000000000009; Action: [0. 1. 0. 2. 1.]
Episode: 82; Score: -0.55; Action: [0. 2. 2. 1. 2.]
Episode: 83; Score: -1.0; Action: [0. 2. 0. 1. 0.]
Episode: 84; Score: 3.263613494446597; Action: [2. 1. 1. 2. 2.]
